IFAKO/SOLUYI ,IFAKO COMP. HIGH SCH IFAKO ,IFAKO COMP. HIGH SCH IFAKO 
,,
ANTHONY/MENDE/ MARYLAND ,ANTHONY VILLAGE HIGH SCH. ANTHONY ,ANTHONY VILLAGE HIGH SCH. ANTHONY 
,,
OJOTA/OGUDU ,ANGLICAN PRY SCH. OGUD ,ANGLICAN PRY SCH. OGUD 
,,
KETU/ALAPERE/ACIDI/ORIG UN ,KETU PRY. HEALTH CNTRE ,KETU PRY. HEALTH CNTRE 
,,
IKOSI/KETU/MILE 12 AGILI ,IKOSI HIGH SCH IKOSI ,IKOSI HIGH SCH IKOSI 
,,
ISHERI- OLOWOIRA/SHAGISHA ,ISHERI COMM. SCH. ISHERI ,ISHERI COMM. SCH. ISHERI 
,,
AGBOYI 1 ,AGBOYI PRY. SCH.AGBOYI ,AGBOYI PRY. SCH.AGBOYI 
,,
AGBOYI 11 ,AGBOYI PRY. SCH.AGBOYI ,AGBOYI PRY. SCH.AGBOYI 
,,
OWODEPEONIRI/AJEGUNLE/ ODO-OGUN ,ANGLICAN PRY. SCH. AJEGUNLE ,ANGLICAN PRY. SCH. AJEGUNLE 
,,
OLOWOGBOWO/ELEGBATA ,OLOWOGBOWO METH. PRY.SCH. ,OLOWOGBOWO METH. PRY.SCH. 
,,
OLUWOLE ,ST. PAUL'S PRY.SCH. BREADFRUIT ST. ,ST. PAUL'S PRY.SCH. BREADFRUIT ST. 
,,
IDUMOTA/OKE-ARIN ,ANSAR-UD-DEEN PRY. SCH. SANUSI OLUSI ,ANSAR-UD-DEEN PRY. SCH. SANUSI OLUSI 
,,
OJU-OTO ,HOLY TRINITY SCH. EBUTE-ERO ,HOLY TRINITY SCH. EBUTE-ERO 
,,
OKO-AWO ,ST PATRICK'S CATH. SCH. IDUMOTA ST. ,ST PATRICK'S CATH. SCH. IDUMOTA ST. 
,,
AGARAWU/OBADINA ,ZUMURATU UL-ISLAMIYA TAWALU BELLO ST. ,ZUMURATU UL-ISLAMIYA TAWALU BELLO ST. 
,,
IDUNTAFA ,ISALE-EKO GRAMM. SCH. OROYINYIN ST ,ISALE-EKO GRAMM. SCH. OROYINYIN ST 
,,
ILUPESI ,KING-ADO HIGH SCH OJO-GIWA ST. ,KING-ADO HIGH SCH OJO-GIWA ST. 
,,
ISALE-AGBEDE ,ST JOHN'S PRY.SCH. AROLOYA ST. ,ST JOHN'S PRY.SCH. AROLOYA ST. 
,,
OLUOSUN ,CHRIST CHURCH CATH. SCH.BROAD ST ,CHRIST CHURCH CATH. SCH.BROAD ST 
,,
OLUSHI/KAKAWA ,ANG. GIRLS SEMINARY SCH.BEOAD ST ,ANG. GIRLS SEMINARY SCH.BEOAD ST 
,,
POPO-AGUDA ,HOLY CROSS CATH. SCH. OIL- MILL ST ,HOLY CROSS CATH. SCH. OIL- MILL ST 
,,
ANIKANTAMO ,ANWAR ISLAM (AMADAIYA PRY. SCH. OLUSI ,ANWAR ISLAM (AMADAIYA PRY. SCH. OLUSI 
,,
OKO-FAJI ,ANWAR-UL-DEEN PRY. SCH. OKEPOPO ,ANWAR-UL-DEEN PRY. SCH. OKEPOPO 
,,
EIYEKOLE ,"ST STEPHEN PRY SCH.WAEC, A/ADELE ","ST STEPHEN PRY SCH.WAEC, A/ADELE "
,,
ONIKAN ,EREKO METH. PRY SCH. BECKLEY ST. ,EREKO METH. PRY SCH. BECKLEY ST. 
,,
SANDGROUSE ,ARAROMI PRY.SCH. MOLONEY ST. ,ARAROMI PRY.SCH. MOLONEY ST. 
,,
EPETEDO ,ADE-OSHODI PRY SCH. TAPA ST. ,ADE-OSHODI PRY SCH. TAPA ST. 
,,
ILUBINRIN/ LAFIAJI ,DOLPHIN HIGH SCH. ST SAVIOUR STR ,DOLPHIN HIGH SCH. ST SAVIOUR STR 
,,
ITOTO/IDDO ,OTTO PRY. SCH. OTTO ,OTTO PRY. SCH. OTTO 
,,
APAPA ROAD & ENVIRONS ,MARYWOOD GRAMMAR SCH APAPA ROAD ,MARYWOOD GRAMMAR SCH APAPA ROAD 
,,
OLALEYE VILLAGE ,JUBRIL MARTINS EME. GRAMM. SCH. IPONRI ,JUBRIL MARTINS EME. GRAMM. SCH. IPONRI 
,,
MAKOKO/EBUTEMETTA ,ADEKUNLE ANG.PRY.SCH. MAKOKO ,ADEKUNLE ANG.PRY.SCH. MAKOKO 
,,
OYINGBO MARKET /ABUTAE- METTA ,KADARA GRAMMAR SCH. ,KADARA GRAMMAR SCH. 
,,
GLOVER/EBUTE-METTA ,ST JUDES PRY SCH. ABUTE METTA ,ST JUDES PRY SCH. ABUTE METTA 
,,
OKO-BABA ,A.U.D PRY SCH. OSHOLAKE ,A.U.D PRY SCH. OSHOLAKE 
,,
OYADIRAN EST/ABULE-OJA ,BIRREL AVENUE HIGH SCH. ,BIRREL AVENUE HIGH SCH. 
,,
ALAGOMEJI ,ONIKE GIRL'S HIGH SCH ONIKE ,ONIKE GIRL'S HIGH SCH ONIKE 
,,
IWAYA ,ST DIMINIC PRY. SCH. YABA ,ST DIMINIC PRY. SCH. YABA 
,,
YABA/IGBOBI SABE ,,
,,
ALAKARA ,"KAJOLA HEALTH CENTRE, AYONUGA ST. ","KAJOLA HEALTH CENTRE, AYONUGA ST. "
,,
IDI-ORO/ODI-OLOWO ,ST MICHEAL PRY SCH. ABIODUN ST ,ST MICHEAL PRY SCH. ABIODUN ST 
,,
BABALOSA ,MUSLIM MISSION PRY SCH. SHOKUNBI ,MUSLIM MISSION PRY SCH. SHOKUNBI 
,,
OJUWOYE ,N.U.D PRY.SCH. AYANTUGA ST ,N.U.D PRY.SCH. AYANTUGA ST 
,,
ILUPEJU ,KOSSY BETHEL PRY SCH. AJENIFU STR. ILUPEJU ,KOSSY BETHEL PRY SCH. AJENIFU STR. ILUPEJU 
,,
OLATEJU ,ADELEYE PRY SCH. DAMENGORO STR. ,ADELEYE PRY SCH. DAMENGORO STR. 
,,
KAYODE/FADEYI ,MAJOLATE PRY SCH. MAJOLAYE STR. KAYODE ,MAJOLATE PRY SCH. MAJOLAYE STR. KAYODE 
,,
MUSHIN/ATEWOLARA ,NEW CITY PRY SCH. PALM AVENUE ,NEW CITY PRY SCH. PALM AVENUE 
,,
PAP-AJAO ,OLISA PRY SCH. OLISA STR. ,OLISA PRY SCH. OLISA STR. 
,,
ILASAMAJA ,ARCH. BISH AGGEY MEMORIAL SEC. SCH. SUBERU BANIRE STR. ,ARCH. BISH AGGEY MEMORIAL SEC. SCH. SUBERU BANIRE STR. 
,,
BABALOSA/IDI-ARABA ,EKO BYO'S HIGH SCH.LABINJO STR. ,EKO BYO'S HIGH SCH.LABINJO STR. 
,,
IDI-ARABA ,ST PAUL'S ANG. PRY SCH. ALAKARA ,ST PAUL'S ANG. PRY SCH. ALAKARA 
,,
ITIRE ,A.U.D PRY SCH. BESIDE ITERI POLICE STATION ,A.U.D PRY SCH. BESIDE ITERI POLICE STATION 
,,
ILUPEJU IND. ESTATE ,ILUPEJI SEC. SCH. EMMANUEL STR. ILUPEJI ,ILUPEJI SEC. SCH. EMMANUEL STR. ILUPEJI 
,,
OJO TOWN ,ST MICHAEL'S PRY. SCH ,ST MICHAEL'S PRY. SCH 
,,
OKOKO MAIKO ,FOA PRY. SCH OKOKOMAIKO ,FOA PRY. SCH OKOKOMAIKO 
,,
AJANGBADI ,AGANJUAKA PRY. SCH. KEMBERI ,AGANJUAKA PRY. SCH. KEMBERI 
,,
IJANIKIN ,ANGLICAN PRY. SCH. IJANIKIN ,ANGLICAN PRY. SCH. IJANIKIN 
,,
IBA TOWN ,L.A PRY. SCH. IBA ,L.A PRY. SCH. IBA 
,,
ILOGBO ,ILOGBO PRY. SCH. ILOGBO ,ILOGBO PRY. SCH. ILOGBO 
,,
